2025-11-21 23:36:55 INFO  TC001_SportsActivities:15 - *****Starting TC001_SportsActivities*****
2025-11-21 23:36:56 INFO  TC001_SportsActivities:23 - Clicked on Activities button
2025-11-21 23:37:01 INFO  TC001_SportsActivities:25 - Clicked on Games Zone
2025-11-21 23:37:01 INFO  TC001_SportsActivities:27 - Clicked on day filter
2025-11-21 23:37:01 INFO  TC001_SportsActivities:29 - Filter is selected
2025-11-21 23:37:01 INFO  TC001_SportsActivities:32 - Price is selected from Low to High range
2025-11-21 23:37:01 INFO  TC001_SportsActivities:41 - Test passed
2025-11-21 23:37:01 INFO  TC001_SportsActivities:51 - -----Finished TC001_SportsActivities-----
2025-11-21 23:37:09 INFO  TC002_MovieLanguages:18 - *****Starting TC002_MovieLanguages*****
2025-11-21 23:37:10 INFO  TC002_MovieLanguages:26 - Clicked on Movies button
2025-11-21 23:37:11 INFO  TC002_MovieLanguages:28 - Selected filters
2025-11-21 23:37:12 INFO  TC002_MovieLanguages:30 - Selected language
2025-11-21 23:37:12 INFO  TC002_MovieLanguages:35 - Test passed
2025-11-21 23:37:12 INFO  TC002_MovieLanguages:45 - -----Finished TC002_MovieLanguages-----
2025-11-21 23:37:19 INFO  InvalidSignInTest:18 - *****Starting TC003_InvalidSignIn*****
2025-11-21 23:37:20 INFO  InvalidSignInTest:24 - Sign in icon is clicked
2025-11-21 23:37:21 INFO  InvalidSignInTest:26 - Invalid mobile number is entered
2025-11-21 23:37:21 INFO  InvalidSignInTest:28 - Continue button is clicked to get the error message
2025-11-21 23:37:21 INFO  InvalidSignInTest:35 - Test passed
2025-11-21 23:37:21 INFO  InvalidSignInTest:43 - -----Finished TC003_InvalidSignIn-----
